"registry_id","year","state","prev_yr_se_viols","prev_yr_se_hpviols","region_code","pct_white","pct_black","pct_native","pct_asian","pct_hi_pi","pct_other","earnings_median","total_population"
110070104787,2021,"FL",0,0,"65785",98.7360057782593,0.216684723726977,0.776453593355002,0.938967136150235,0,0.469483568075117,24594,5538
110070383228,2021,"MO",0,0,"93664",96.2162162162162,0,0,0.540540540540541,0,11.3513513513514,61500,370
110070094139,2021,"Mo",0,0,"93292",70.1419252262152,2.12537118006032,2.29839369636887,4.90074586733382,0.4068367275363,28.1465547475976,41672,42769
110043266756,2021,"FL",0,0,"59043",5,0.382165605095541,94.7452229299363,0.0955414012738854,0,0,31980,3140
110055026396,2021,"FL",0,0,"65807",91.2072096768667,6.08059486687455,2.13651783572628,4.14796285508687,0.221019086454443,2.17249768700956,33019,58366
110065140136,2021,"FL",0,0,"90270",68.0576547351347,1.10959560585395,0.313340951819221,0.545581892579349,0.0184318206952483,40.9628783131198,26977,27127
110070251181,2021,"MO",0,0,"95677",85.8961000297708,3.70646025602858,2.26629949389699,8.99821375409348,1.0233700506103,6.16626972313188,NA,26872
110055897132,2021,"KY",0,0,"91767",187.395046673249,8.84479036698156,4.00055453231141,9.8607727803854,0.566415146653992,36.8645158734874,34852,50493
110012325536,2021,"CA",0,0,"34698",93.5981890785157,3.94740188722436,1.10639163720528,3.40056464124933,0.256886334155709,1.20812879924715,38775,39317
110070094398,2021,"MO",0,0,"95660",75.6002172732211,14.4296577946768,2.47691472026073,8.53883758826725,1.05920695274307,9.48126018468224,32403,36820
110000479330,2021,"KY",0,0,"92337",43.1565656565657,13.8484848484848,2.12878787878788,8.05050505050505,0.467171717171717,44.6868686868687,41092,39600
110070163100,2021,"California",0,0,"34285",96.8703427719821,1.04873875365679,0.43605453441519,2.97510625379478,0.171110007175581,1.68350168350168,32182,18117
110070092994,2021,"MO",0,0,"93454",85.7093596059113,1.99014778325123,1.56896551724138,5.96059113300493,0.694581280788177,17.5,32892,40600
110001736925,2021,"CA",2,0,"32601",73.7742994193385,19.0911386013633,0.772532188841202,8.85130017672305,0.100984599848523,3.00934107548599,30795,19805
110000525539,2021,"KY",0,0,"90815",75.710804224208,8.72318058011182,1.27347445883309,15.1048884216562,0.757394753189659,4.89320017202657,67237,41854
110000483682,2021,"MO",0,0,"94601",25.3954504368786,18.2472130159687,4.41209701717385,20.0041428141006,0.981093702922567,38.6279752937632,32556,53104
110070088739,2021,"MO",0,0,"95963",85.2301307847083,0.132042253521127,3.08098591549296,1.07520120724346,0.132042253521127,13.2545271629779,32687,15904
110055997060,2021,"MO",0,0,"94901",68.6940705711168,1.68061113132048,1.48175093973566,6.71274402813144,0.0970049715047896,25.5535346186492,NA,41235
110070217835,2021,"FL",0,0,"64116",81.4447934283643,13.1432713215753,3.06837400338246,4.68108238705001,1.05097849722155,3.61802367721672,35051,16556
110002675971,2021,"MO",0,0,"93722",55.9147428651338,12.6906806819639,3.1662607358031,20.2712938900607,0.106047010290056,19.8179720548648,37443,85811
110070087658,2021,"MO",0,0,"95476",85.2947510094213,2.21265141318977,1.25975773889637,2.83445491251682,0.471063257065949,16.2611036339166,45489,37150
